Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,87.96000000000001,1055.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Smakbox,Europe (Stockholm),,Amazon EC2 ,0,17.398857,208.79,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Weekly, Baseline: 1, Peak: 3, Duration of peak: 0 Day 4 Hr 0 Min), Advance EC2 instance (t3.small), Pricing strategy (On-Demand), Enable monitoring (disabled), EBS Storage amount (10 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Smakbox,Europe (Stockholm),,Application Load Balancer,0,18.03,216.36,USD,,Number of Application Load Balancers (1)
Smakbox,Europe (Stockholm),,S3 Standard,0,1.24,14.88,USD,,"S3 Standard storage (50 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000), GET, SELECT, and all other requests from S3 Standard (100000), Data returned by S3 Select (0 GB per month), Data scanned by S3 Select (0 GB per month)"
Smakbox,Europe (Stockholm),,Data Transfer,0,0,0.00,USD,,
Smakbox,Europe (Stockholm),,Amazon RDS for PostgreSQL,0,51.290000000000006,615.48,USD,,"Storage amount (32 GB), Storage volume (General Purpose SSD (gp3)), Nodes (1), Instance Type (db.t4g.medium), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
